GM_PONTO;CD_GEOCODIGO;TIPO;CD_GEOCODSD;NM_SUBDISTRITO;CD_GEOCODDS;NM_DISTRITO;CD_GEOCODMU;NM_MUNICIPIO;NM_MICRO;NM_MESO;NM_UF;CD_NIVEL;CD_CATEGORIA;NM_CATEGORIA;NM_LOCALIDADE;LONG;LAT;ALT
;430080205000017;URBANO;43008020500;;430080205;ANTÔNIO PRADO;4300802;ANTÔNIO PRADO;CAXIAS DO SUL;NORDESTE RIO-GRANDENSE;RIO GRANDE DO SUL;6;002;AUI;LOTEAMENTO INDUSTRIAL;-51,24143794;-28,86053555;707,007926
;430080205000042;URBANO;43008020500;;430080205;ANTÔNIO PRADO;4300802;ANTÔNIO PRADO;CAXIAS DO SUL;NORDESTE RIO-GRANDENSE;RIO GRANDE DO SUL;6;003;AUI;LOTEAMENTO ESTRADA VELHA;-51,28060811;-28,83327819;776,205765
;430080230000001;RURAL;43008023000;;430080230;SANTANA;4300802;ANTÔNIO PRADO;CAXIAS DO SUL;NORDESTE RIO-GRANDENSE;RIO GRANDE DO SUL;3;00001;POVOADO;SANTANA;-51,4201471;-28,88093879;671,954016
;430085105000001;URBANO;43008510500;;430085105;ARAMBARÉ;4300851;ARAMBARÉ;CAMAQUÃ;METROPOLITANA DE PORTO ALEGRE;RIO GRANDE DO SUL;1;05;CIDADE;ARAMBARÉ;-51,50131825;-30,90934555;6,758475
;430085120000001;URBANO;43008512000;;430085120;SANTA RITA DO SUL;4300851;ARAMBARÉ;CAMAQUÃ;METROPOLITANA DE PORTO ALEGRE;RIO GRANDE DO SUL;2;20;VILA;SANTA RITA DO SUL;-51,50926749;-31,05480438;4,794208
;430087705000001;URBANO;43008770500;;430087705;ARARICÁ;4300877;ARARICÁ;PORTO ALEGRE;METROPOLITANA DE PORTO ALEGRE;RIO GRANDE DO SUL;1;05;CIDADE;ARARICÁ;-50,92567661;-29,61724359;32,21228
;430090105000001;URBANO;43009010500;;430090105;ARATIBA;4300901;ARATIBA;ERECHIM;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;1;05;CIDADE;ARATIBA;-52,30383195;-27,39444413;413,797253
;430090115000001;URBANO;43009011500;;430090115;DOURADO;4300901;ARATIBA;ERECHIM;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;15;VILA;DOURADO;-52,23174602;-27,42769293;429,871232
;430090118000001;URBANO;43009011800;;430090118;PIO X;4300901;ARATIBA;ERECHIM;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;18;VILA;PIO X;-52,36234208;-27,39012114;468,618029
;430090120000001;URBANO;43009012000;;430090120;RIO AZUL;4300901;ARATIBA;ERECHIM;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;20;VILA;RIO AZUL;-52,34277152;-27,48050684;571,622878
